"","iso_o","iso_d","contig","comlang_off","comlang_ethno","colony","comcol","curcol","col45","smctry","dist","distcap","distw","distwces"
"43580","THA","MDG",0,0,0,0,0,0,0,0,6850.169,6850.169,"6878.655","6869.18"
"43581","THA","MDV",0,0,0,0,0,0,0,0,3152.969,3152.969,"3212.7","3206.796"
"43582","THA","MEX",0,0,0,0,0,0,0,0,15761.05,15761.05,"15363.91","15331.86"
"43583","THA","MHL",0,0,0,0,0,0,0,0,7749.514,7749.514,"7594.243","7588.734"
"43584","THA","MKD",0,0,0,0,0,0,0,0,8099.388,8099.388,"8105.595","8103.297"
"43585","THA","MLI",0,0,0,0,0,0,0,0,11617.81,11617.81,"11524.91","11519.33"
"43586","THA","MLT",0,0,0,0,0,0,0,0,8768.3,8768.3,"8783.535","8781.904"
"43587","THA","MMR",1,0,0,0,0,0,0,0,575.9035,575.9035,"718.4216","632.6618"
"43588","THA","MNG",0,0,0,0,0,0,0,0,3848.093,3848.093,"3836.947","3822.853"
"43589","THA","MNP",0,0,0,0,0,0,0,0,4870.782,4870.782,"4855.235","4853.455"
"43590","THA","MOZ",0,0,0,0,0,0,0,0,8573.696,8573.696,"8139.452","8111.054"
"43591","THA","MRT",0,0,0,0,0,0,0,0,12211.87,12211.87,"12108.84","12104.25"
"43592","THA","MSR",0,0,0,0,0,0,0,0,16150.13,16150.13,".","."
"43593","THA","MTQ",0,0,0,0,0,0,0,0,16284.25,16284.25,"16279.35","16277.78"
"43594","THA","MUS",0,0,0,0,0,0,0,0,6031.729,6031.729,"6048.2","6044.671"
"43595","THA","MWI",0,0,0,0,0,0,0,0,7967.801,7967.801,"7938.159","7936.391"
"43596","THA","MYS",1,0,0,0,0,0,0,0,1187.123,1187.123,"1282.879","1152.438"
"43597","THA","NAM",0,0,0,0,0,0,0,0,9940.421,9940.421,"9935.4","9929.367"
"43598","THA","NCL",0,0,0,0,0,0,0,0,8231.042,8231.042,"8185.557","8183.318"
"43599","THA","NER",0,0,0,0,0,0,0,0,10544.8,10544.8,"10230.63","10219.28"
"43600","THA","NFK",0,0,0,0,0,0,0,0,8666.699,8666.699,"8664.794","8663.192"
"43601","THA","NGA",0,0,0,0,0,0,0,0,10601.39,10130.63,"10333.23","10323.61"
"43602","THA","NIC",0,0,0,0,0,0,0,0,17062.34,17062.34,"17034.18","17031.78"
"43603","THA","NIU",0,0,0,0,0,0,0,0,10468.01,10468.01,"10459.83","10459.06"
"43604","THA","NLD",0,0,0,0,0,0,0,0,9185.165,9185.165,"9181.6","9178.742"
"43605","THA","NOR",0,0,0,0,0,0,0,0,8683.7,8683.7,"8743.994","8738.107"
"43606","THA","NPL",0,0,0,0,0,0,0,0,2212.509,2212.509,"2258.092","2234.965"
"43607","THA","NRU",0,0,0,0,0,0,0,0,7486.897,7486.897,"7475.243","7474.406"
"43608","THA","NZL",0,0,0,0,0,0,0,0,9872.658,9872.658,"9650.441","9647.72"
"43609","THA","OMN",0,0,0,0,0,0,0,0,4531.884,4531.884,"4666.38","4660.87"
"43610","THA","PAK",0,0,0,0,0,0,0,0,3542.771,3542.771,"3559.738","3547.436"
"43611","THA","PAL",0,0,0,0,0,0,0,0,6967.803,6967.803,"6950.023","6948.108"
"43612","THA","PAN",0,0,0,0,0,0,0,0,17509.22,17509.22,"17509.71","17507.39"
"43613","THA","PCN",0,0,0,0,0,0,0,0,14607.55,14607.55,".","."
"43614","THA","PER",0,0,0,0,0,0,0,0,19711.86,19711.86,"19475.95","19471.19"
"43615","THA","PHL",0,0,0,0,0,0,0,0,2210.015,2210.015,"2306.804","2287.885"
"43616","THA","PLW",0,0,0,0,0,0,0,0,3782.226,3782.226,"3774.961","3773.225"
"43617","THA","PNG",0,0,0,0,0,0,0,0,5761.263,5761.263,"5661.366","5645.181"
"43618","THA","POL",0,0,0,0,0,0,0,0,8100.028,8100.028,"8219.65","8214.887"
"43619","THA","PRI",0,0,0,0,0,0,0,0,16164.17,16164.17,"16181.04","16179.04"
"43620","THA","PRK",0,0,0,0,0,0,0,0,3750.094,3750.094,"3829.03","3814.919"
"43621","THA","PRT",0,0,0,0,0,0,0,0,10694.58,10694.58,"10695.37","10689.84"
"43622","THA","PRY",0,0,0,0,0,0,0,0,17414.88,17414.88,"17357.21","17355.47"
"43623","THA","PYF",0,0,0,0,0,0,0,0,12553.15,12553.15,"12532.61","12531.78"
"43624","THA","QAT",0,0,0,0,0,0,0,0,5265.259,5265.259,"5288.034","5286.246"
"43625","THA","REU",0,0,0,0,0,0,0,0,6250.343,6250.343,"6277.012","6273.633"
"43626","THA","ROM",0,0,0,0,0,0,0,0,7716.708,7716.708,"7777.265","7771.764"
"43627","THA","RUS",0,0,0,0,0,0,0,0,7067.929,7067.929,"6496.558","6354.177"
"43628","THA","RWA",0,0,0,0,0,0,0,0,7959.035,7959.035,"7991.911","7990.831"
"43629","THA","SAU",0,0,0,0,0,0,0,0,5741.941,5741.941,"6106.021","6074.043"
"43630","THA","SDN",0,0,0,0,0,0,0,0,7289.875,7289.875,"7356.799","7341.837"
"43631","THA","SEN",0,0,0,0,0,0,0,0,12506.49,12506.49,"12464.97","12463.79"
"43632","THA","SGP",0,0,0,0,0,0,0,0,1433.936,1433.936,"1435.705","1404.194"
"43633","THA","SHN",0,0,0,0,0,0,0,0,12132.7,12132.7,"12427.54","12415.46"
"43634","THA","SLB",0,0,0,0,0,0,0,0,7054.737,7054.737,"7015.259","7011.78"
"43635","THA","SLE",0,0,0,0,0,0,0,0,12313.2,12313.2,"12255.96","12254.69"
"43636","THA","SLV",0,0,0,0,0,0,0,0,16803.46,16803.46,"16790.8","16788.55"
"43637","THA","SMR",0,0,0,0,0,0,0,0,8804.058,8804.058,"8814.343","8812.223"
"43638","THA","SOM",0,0,0,0,0,0,0,0,6202.135,6202.135,"6227.984","6221.025"
"43639","THA","SPM",0,0,0,0,0,0,0,0,12918.17,12918.17,"12902.87","12900.22"
"43640","THA","STP",0,0,0,0,0,0,0,0,10420.66,10420.66,"10433.4","10432.77"
"43641","THA","SUR",0,0,0,0,0,0,0,0,16577.5,16577.5,"16493.16","16283.72"
"43642","THA","SVK",0,0,0,0,0,0,0,0,8391.738,8391.738,"8262.152","8257.873"
"43643","THA","SVN",0,0,0,0,0,0,0,0,8615.622,8615.622,"8600.196","8597.63"
"43644","THA","SWE",0,0,0,0,0,0,0,0,8276.24,8276.24,"8415.42","8409.324"
"43645","THA","SWZ",0,0,0,0,0,0,0,0,8723.244,8723.244,"8716.827","8714.718"
"43646","THA","SYC",0,0,0,0,0,0,0,0,5377.11,5377.11,"5393.822","5391.799"
"43647","THA","SYR",0,0,0,0,0,0,0,0,6796.602,6796.602,"6744.387","6740.349"
"43648","THA","TCA",0,0,0,0,0,0,0,0,16010.91,16010.91,"16009.93","16007.69"
"43649","THA","TCD",0,0,0,0,0,0,0,0,9222.452,9222.452,"9126.285","9121.629"
"43650","THA","TGO",0,0,0,0,0,0,0,0,10835.92,10835.92,"10835.73","10835.07"
"43651","THA","THA",0,0,0,0,0,0,0,0,269.427,269.427,"182.8386","41.95795"
"43652","THA","TJK",0,0,0,0,0,0,0,0,4165.016,4165.016,"4165.345","4159.078"
"43653","THA","TKL",0,0,0,0,0,0,0,0,9986.874,9986.874,"10032.11","10031.07"
"43654","THA","TKM",0,0,0,0,0,0,0,0,4944.133,4944.133,"4923.12","4907.342"
"43655","THA","TMP",0,0,0,0,0,0,0,0,3720.003,3720.003,"3731.283","3726.631"
"43656","THA","TON",0,0,0,0,0,0,0,0,9986.011,9986.011,"9985.199","9984.289"
"43657","THA","TTO",0,0,0,0,0,0,0,0,16672.71,16672.71,"16684","16682.58"
"43658","THA","TUN",0,0,0,0,0,0,0,0,9131.022,9131.022,"9155.703","9153.876"
"43659","THA","TUR",0,0,0,0,0,0,0,0,7477.634,7142.523,"7232.054","7212.063"
"43660","THA","TUV",0,0,0,0,0,0,0,0,9036.35,9036.35,"8930.49","8927.235"
"43661","THA","TWN",0,0,0,0,0,0,0,0,2538.269,2538.269,"2445.399","2434.003"
"43662","THA","TZA",0,0,0,0,0,0,0,0,7137.656,7487.677,"7382.943","7369.955"
"43663","THA","UGA",0,0,0,0,0,0,0,0,7623.443,7623.443,"7644.908","7642.648"
"43664","THA","UKR",0,0,0,0,0,0,0,0,7429.726,7429.726,"7227.451","7214.077"
"43665","THA","URY",0,0,0,0,0,0,0,0,16710.97,16710.97,"16775.65","16773.16"
